Timestep,Producers,Consumers,AvgSpeed,AvgGen,AvgMetab,AvgVision
0,15,15,2.7333333333333334,0.0,1.369413152712909,1.7333333333333334
1,12,18,3.0,0.16666666666666666,1.317935464904096,1.6666666666666667
2,13,17,2.9411764705882355,0.17647058823529413,1.2811395419555858,1.7058823529411764
3,14,15,2.8666666666666667,0.2,1.226306812515782,1.6666666666666667
4,17,15,2.8666666666666667,0.2,1.226306812515782,1.6666666666666667
5,18,15,3.0,0.3333333333333333,1.2614927864368575,1.5333333333333334
6,19,14,2.9285714285714284,0.2857142857142857,1.306399868305974,1.5
7,20,13,2.8461538461538463,0.23076923076923078,1.3424948420409473,1.5384615384615385
8,23,11,3.0,0.2727272727272727,1.435836406482329,1.3636363636363635
9,23,8,2.5,0.125,1.3816803594918132,1.375
10,26,5,2.4,0.0,1.2332932206907614,1.6
11,29,3,2.0,0.0,1.0362360498264866,2.0
12,33,3,2.0,0.0,1.0362360498264866,2.0
13,40,2,2.0,0.0,0.7376604927549897,2.0
14,44,1,4.0,0.0,0.8371652097513226,1.0
15,49,1,4.0,0.0,0.8371652097513226,1.0
16,53,1,4.0,0.0,0.8371652097513226,1.0
17,58,1,4.0,0.0,0.8371652097513226,1.0
18,60,1,4.0,0.0,0.8371652097513226,1.0
19,65,2,4.0,0.5,0.8371652097513226,1.0
20,71,2,4.0,0.5,0.8371652097513226,1.0
21,77,2,4.0,0.5,0.8371652097513226,1.0
22,83,2,4.0,0.5,0.8371652097513226,1.0
23,85,3,4.0,1.0,0.8371652097513226,1.0
24,88,3,4.0,1.0,0.8371652097513226,1.0
25,96,4,4.0,1.5,0.8371652097513226,1.0
26,101,5,4.0,1.6,0.8371652097513225,1.0
27,113,6,4.0,1.5,0.8371652097513226,1.0
28,115,6,4.0,1.5,0.8371652097513226,1.0
29,112,8,4.0,1.75,0.8333888776538865,1.0
30,108,10,4.0,1.7,0.8341441440733737,1.0
31,115,12,4.0,2.0,0.8321301002880744,1.0
32,111,13,4.0,2.0,0.8325174164006319,1.0
33,104,17,4.0,2.3529411764705883,0.8372735165950838,1.0
34,95,22,4.0,2.5454545454545454,0.8358756897315249,1.0
35,87,27,4.0,2.7777777777777777,0.8384205093612251,1.0
36,77,30,4.0,2.933333333333333,0.837584499700435,1.0
37,61,35,4.0,3.0,0.8357982778917338,1.0
38,46,39,4.0,3.2564102564102564,0.8382272903542373,1.0
39,34,43,4.0,3.4186046511627906,0.8367233453316644,1.0
40,24,42,3.9285714285714284,3.5,0.8367128247502441,1.0
41,16,45,3.9555555555555557,3.7333333333333334,0.8340166761178294,1.0
42,13,44,3.9545454545454546,3.75,0.8346317243711474,1.0
43,9,40,3.95,3.8,0.834487467644809,1.0
44,6,38,3.9473684210526314,3.8421052631578947,0.834907438875887,1.0
45,6,36,3.9444444444444446,3.9166666666666665,0.8356211920711264,1.0
46,6,33,3.909090909090909,3.787878787878788,0.8335591063945342,1.0
47,10,27,3.888888888888889,3.962962962962963,0.8304517304669917,1.0
48,9,24,3.875,4.208333333333333,0.8308713229222624,1.0
49,9,19,3.8421052631578947,4.2631578947368425,0.8308050714819565,1.0
50,10,14,4.0,4.214285714285714,0.8306914975842893,1.0
51,8,13,4.0,4.153846153846154,0.8325174164006319,1.0
52,6,11,4.0,4.363636363636363,0.8316723630641427,1.0
53,6,11,4.0,4.363636363636363,0.8316723630641427,1.0
54,6,11,4.0,4.363636363636363,0.8316723630641427,1.0
55,8,9,4.0,4.444444444444445,0.8304517304669917,1.0
56,8,7,4.0,4.714285714285714,0.832849401639967,1.0
57,11,6,4.0,4.333333333333333,0.8321301002880744,1.0
58,12,5,4.0,4.2,0.8311230783954248,1.0
59,12,4,4.0,4.25,0.8371652097513226,1.0
60,13,3,4.0,3.6666666666666665,0.8371652097513226,1.0
61,13,2,4.0,3.0,0.8371652097513226,1.0
62,13,2,4.0,3.0,0.8371652097513226,1.0
63,16,1,4.0,4.0,0.8371652097513226,1.0
64,20,1,4.0,4.0,0.8371652097513226,1.0
65,22,1,4.0,4.0,0.8371652097513226,1.0
66,25,1,4.0,4.0,0.8371652097513226,1.0
67,31,1,4.0,4.0,0.8371652097513226,1.0
68,35,1,4.0,4.0,0.8371652097513226,1.0
69,36,1,4.0,4.0,0.8371652097513226,1.0
70,39,1,4.0,4.0,0.8371652097513226,1.0
71,40,1,4.0,4.0,0.8371652097513226,1.0
72,42,1,4.0,4.0,0.8371652097513226,1.0
73,43,1,4.0,4.0,0.8371652097513226,1.0
74,42,1,4.0,4.0,0.8371652097513226,1.0
75,47,1,4.0,4.0,0.8371652097513226,1.0
76,53,1,4.0,4.0,0.8371652097513226,1.0
77,53,1,4.0,4.0,0.8371652097513226,1.0
78,53,1,4.0,4.0,0.8371652097513226,1.0
79,55,1,4.0,4.0,0.8371652097513226,1.0
80,60,1,4.0,4.0,0.8371652097513226,1.0
81,61,2,3.5,4.5,0.8371652097513226,1.0
82,61,2,3.5,4.5,0.8371652097513226,1.0
83,63,3,3.3333333333333335,5.0,0.8371652097513226,1.0
84,64,4,3.5,5.0,0.8371652097513226,1.0
85,60,5,3.4,5.4,0.8371652097513225,1.0
86,59,6,3.5,5.5,0.8371652097513226,1.0
87,53,9,3.4444444444444446,5.777777777777778,0.8371652097513226,1.0
88,50,11,3.4545454545454546,6.0,0.8371652097513226,1.0
89,53,15,3.6,6.266666666666667,0.8371652097513226,1.0
90,49,18,3.5555555555555554,6.555555555555555,0.8392430078433168,1.0
91,43,22,3.6363636363636362,6.545454545454546,0.8388652263720452,1.0
92,35,25,3.6,6.72,0.8401572390037942,1.0
93,26,27,3.6666666666666665,6.851851851851852,0.8399356072073149,1.0
94,22,28,3.6785714285714284,6.821428571428571,0.8492878065353764,1.0
95,18,28,3.7142857142857144,6.928571428571429,0.8443973536984071,1.0
96,13,27,3.7037037037037037,7.0,0.8446652108816324,1.0
97,9,28,3.7142857142857144,7.285714285714286,0.8395069008614378,1.0
98,10,28,3.7142857142857144,7.285714285714286,0.8395069008614378,1.0
99,10,24,3.625,7.541666666666667,0.8288708502697189,1.0
100,9,20,3.7,7.75,0.8253419600906033,1.0
101,7,18,3.6666666666666665,8.11111111111111,0.8210796422607831,1.0
102,7,15,3.6666666666666665,8.133333333333333,0.8178625287626752,1.0
103,8,13,3.6153846153846154,8.0,0.8254261685671249,1.0
104,8,10,3.5,8.0,0.8355977241553797,1.0
105,8,8,3.625,8.25,0.8305308070494071,1.0
106,9,6,3.8333333333333335,8.0,0.8283193394821019,1.0
107,11,5,3.8,8.2,0.8265501654282577,1.0
108,13,3,4.0,8.0,0.819473469212881,1.0
109,14,3,4.0,8.0,0.819473469212881,1.0
110,16,2,4.0,7.5,0.8371652097513226,1.0
111,20,1,4.0,7.0,0.8371652097513226,1.0
112,21,1,4.0,7.0,0.8371652097513226,1.0
113,25,1,4.0,7.0,0.8371652097513226,1.0
114,27,1,4.0,7.0,0.8371652097513226,1.0
115,34,1,4.0,7.0,0.8371652097513226,1.0
116,37,2,4.0,7.5,0.9468403211727878,1.0
117,40,2,4.0,7.5,0.9468403211727878,1.0
118,38,3,4.0,8.0,0.9833986916466096,1.0
119,41,4,4.0,8.0,0.9468403211727878,1.0
120,39,5,4.0,8.4,0.9687753434570808,1.0
121,37,6,4.0,8.5,0.9468403211727878,1.0
122,36,7,4.0,8.428571428571429,0.9311724481125785,1.0
123,39,7,4.0,8.428571428571429,0.9311724481125785,1.0
124,38,10,4.2,8.8,0.9250040984221777,1.0
125,37,10,4.2,8.8,0.9250040984221777,1.0
126,36,10,4.2,8.8,0.9250040984221777,1.0
127,32,11,4.2727272727272725,9.090909090909092,0.9369596742560027,1.0
128,29,12,4.25,9.166666666666666,0.9469226541175235,1.0
129,24,13,4.230769230769231,9.076923076923077,0.9553528678465028,1.0769230769230769
130,26,13,4.230769230769231,9.076923076923077,0.9553528678465028,1.0769230769230769
131,24,12,4.25,9.25,0.9652018393544344,1.1666666666666667
132,21,13,4.230769230769231,9.384615384615385,0.9722259619113435,1.1538461538461537
133,21,13,4.3076923076923075,9.615384615384615,0.9890990559761843,1.1538461538461537
134,22,13,4.3076923076923075,9.615384615384615,0.9890990559761843,1.1538461538461537
135,20,13,4.384615384615385,9.923076923076923,0.9890990559761843,1.1538461538461537
136,21,12,4.416666666666667,10.083333333333334,0.9834810245913452,1.1666666666666667
137,17,11,4.454545454545454,10.181818181818182,0.9768415329547172,1.1818181818181819
138,15,13,4.615384615384615,10.538461538461538,0.9665302729330078,1.1538461538461537
139,14,11,4.7272727272727275,10.727272727272727,0.9701102641621386,1.0909090909090908
140,12,12,4.75,11.0,0.9710580321935488,1.0833333333333333
141,11,10,4.9,11.4,0.975901574397701,1.0
142,10,8,5.0,12.0,0.9831668877039292,1.0
143,11,8,5.0,12.0,0.9831668877039292,1.0
144,16,7,5.0,12.0,0.9726885241481688,1.0
145,17,7,5.0,12.0,0.9726885241481688,1.0
146,18,4,5.0,12.0,0.9644088996901311,1.0
147,20,4,5.0,12.0,0.9644088996901311,1.0
148,20,5,5.0,12.2,0.9828302062709555,1.0
149,21,5,5.0,12.2,0.9828302062709555,1.0
150,20,6,5.0,12.5,0.9826057519823065,1.0
151,21,6,5.0,12.5,0.9826057519823065,1.0
152,19,6,4.666666666666667,13.166666666666666,1.018999456566657,1.0
153,22,7,4.714285714285714,13.428571428571429,1.0136400314198575,1.0
154,24,7,4.714285714285714,13.428571428571429,1.0136400314198575,1.0
155,26,8,4.75,13.75,1.0096204625597578,1.0
156,25,8,4.75,14.0,1.0096204625597578,1.0
157,26,8,4.75,14.0,1.0096204625597578,1.0
158,24,10,4.8,14.4,1.0039930661556185,1.0
159,24,10,4.8,14.4,1.0039930661556185,1.0
160,24,11,4.818181818181818,14.636363636363637,1.0019467401904767,1.0
161,24,9,5.0,15.0,0.9898203641007487,1.0
162,23,10,5.0,15.3,0.9889866757445798,1.0
163,23,9,5.0,15.666666666666666,0.9814834805390605,1.0
164,23,8,5.0,15.875,0.9814834805390606,1.0
165,25,7,5.0,16.0,0.9814834805390606,1.0
166,28,7,5.0,16.0,0.9814834805390606,1.0
167,27,5,5.0,15.6,0.9814834805390606,1.0
168,27,5,5.0,15.6,0.9814834805390606,1.0
169,28,4,5.0,16.0,0.9814834805390606,1.0
170,29,4,5.0,16.0,0.9814834805390606,1.0
171,30,5,5.0,16.0,0.9814834805390606,1.0
172,30,5,5.0,16.4,0.9814834805390606,1.0
173,29,6,5.0,16.5,0.9814834805390605,1.0
174,30,8,5.0,16.75,0.9814834805390606,1.0
175,26,8,5.0,16.75,0.9814834805390606,1.0
